"","A10_S18_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","A11_S21_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","A7_S12_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","A9_S15_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B10_S19_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B11_S22_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B7_S13_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B9_S16_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","C2_S6_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","C7_S14_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D0_S1_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D1_S4_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D3_S8_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D4_S10_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D5_S11_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","E0_S2_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","E1_S5_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","E2_S7_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","F10_S20_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam"
"dp_gene11623",0,0,0,0,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0
"dp_gene11624",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"dp_gene11625",1104,1031,721,556,362,348,445,284,327,284,58,87,23,23,75,22,33,19,2
"dp_gene11626",4,3,3,5,4,4,5,2,4,6,1,3,0,0,2,2,3,0,1
"dp_gene11627",0,1,2,0,4,5,1,1,5,1,0,2,0,0,2,0,0,0,0
"dp_gene11628",1,7,2,3,2,9,7,2,4,5,0,7,0,2,2,5,0,1,1
"dp_gene11629",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11630",25,14,11,6,1,1,9,0,7,1,2,4,1,2,7,3,1,1,2
"dp_gene11631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11632",2,1,3,1,0,0,0,0,0,0,1,0,0,0,2,11,0,0,216
"dp_gene11633",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1
"dp_gene11634",1,2,1,5,5,14,12,4,6,7,1,1,0,1,3,1,1,3,2
"dp_gene11635",26,29,23,25,36,44,45,32,30,38,7,25,3,13,22,33,27,34,16
"dp_gene11636",839,801,530,446,256,269,342,246,291,247,40,72,27,16,76,17,20,16,5
"dp_gene11637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11638",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11639",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11640",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11645",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11646",7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11647",0,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"dp_gene11648",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,0,3
"dp_gene11649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11651",2,0,1,3,0,0,1,1,1,0,0,1,0,0,3,0,0,0,0
"dp_gene11652",0,3,5,0,3,2,7,3,9,3,2,1,0,2,0,4,7,5,0
"dp_gene11653",0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"dp_gene11654",5,3,7,1,2,1,7,0,1,0,0,0,0,3,0,2,1,0,1
"dp_gene11655",0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"dp_gene11656",0,0,0,0,0,1,4,2,0,0,0,1,0,0,1,0,1,0,0
"dp_gene11657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11658",42,23,19,14,6,16,13,4,9,10,5,16,0,4,11,17,20,8,6
"dp_gene11659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11660",2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"dp_gene11661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11662",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"dp_gene11663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11664",4,8,0,2,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0
"dp_gene11665",4,14,6,9,4,2,2,2,1,1,0,0,0,0,2,1,2,0,0
"dp_gene11666",2,9,4,13,3,7,6,8,0,1,2,0,0,0,1,17,3,4,10
"dp_gene11667",45,41,42,43,33,52,65,25,34,60,33,48,3,10,48,54,52,27,30
"dp_gene11668",11,5,4,3,2,2,1,1,1,0,1,4,0,3,7,10,7,8,2
"dp_gene11669",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"dp_gene11670",56,29,27,15,8,16,15,5,11,11,6,15,4,5,13,22,24,11,6
"dp_gene11671",17,17,8,8,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
"dp_gene11672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11673",0,0,0,1,1,1,0,0,2,0,0,0,0,1,0,2,1,2,1
"dp_gene11674",0,0,0,0,0,0,5,0,0,0,0,2,0,1,0,2,0,1,0
"dp_gene11675",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"dp_gene11676",4,6,2,8,8,5,1,4,4,6,0,2,0,0,0,2,1,4,0
"dp_gene11677",27,41,40,39,27,44,44,33,39,54,12,27,0,10,20,17,11,12,7
"dp_gene11678",911,829,668,629,384,461,557,420,366,348,189,176,68,69,235,274,184,177,283
"dp_gene11679",1,2,1,1,0,4,0,0,0,1,1,0,0,1,0,0,0,0,0
"dp_gene11680",16,30,8,14,39,45,20,13,7,7,6,0,0,0,4,29,9,10,25
"dp_gene11681",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,5,1
"dp_gene11682",0,2,0,0,3,1,2,2,2,2,5,2,0,0,9,14,12,8,6
"dp_gene11683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene11684",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"dp_gene11685",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"dp_gene11686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11687",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1
"dp_gene11688",1,1,2,0,4,4,6,1,8,14,3,6,4,1,2,15,12,8,6
"dp_gene11689",11,51,57,48,90,91,108,63,74,69,28,22,5,4,19,19,16,14,15
"dp_gene11690",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11691",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11692",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene11693",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11694",0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"dp_gene11695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"dp_gene11696",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene11697",0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
"dp_gene11698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11699",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11701",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11702",24,25,32,33,50,41,112,45,60,97,63,80,25,33,89,141,123,154,42
"dp_gene11703",25,21,19,23,21,35,55,20,25,32,13,22,0,12,25,23,20,19,3
"dp_gene11704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11706",0,2,0,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0
"dp_gene11707",2,2,0,1,4,5,4,6,6,5,2,0,3,0,2,3,4,0,0
"dp_gene11708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11709",2,4,4,9,19,12,25,7,18,27,15,20,7,5,19,33,30,34,11
"dp_gene11710",7,9,7,11,7,7,22,13,20,13,4,15,3,3,12,10,9,4,2
"dp_gene11711",0,0,0,0,8,15,23,7,54,35,51,75,25,31,77,83,67,42,23
"dp_gene11712",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,4
"dp_gene11713",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"dp_gene11714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11715",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"dp_gene11716",1,0,0,1,1,0,2,0,0,2,1,0,0,0,0,1,0,0,1
"dp_gene11717",0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11718",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11719",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11720",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"dp_gene11721",3,3,2,6,2,4,1,1,1,1,8,11,3,4,6,19,17,12,14
"dp_gene11722",1,1,3,0,2,1,3,5,4,4,1,0,0,0,1,1,3,1,1
"dp_gene11723",0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1,0
"dp_gene11724",2,11,3,8,10,8,10,8,7,1,6,8,1,9,16,12,7,8,7
"dp_gene11725",3,1,2,6,3,3,3,1,1,2,0,0,0,0,3,1,0,0,0
"dp_gene11726",9,16,18,26,12,15,27,24,34,44,15,16,5,7,17,14,17,22,6
"dp_gene11727",20,7,9,12,2,14,22,14,19,9,9,10,2,11,10,19,5,14,4
"dp_gene11728",1,3,0,4,2,7,1,2,1,3,0,0,4,1,1,1,2,1,1
"dp_gene11729",19,23,31,50,22,32,46,36,26,27,14,21,10,13,18,15,10,17,2
"dp_gene11730",33,33,24,25,21,21,50,20,44,60,35,53,8,25,41,84,112,69,36
"dp_gene11731",1,1,0,1,4,0,1,5,1,5,1,1,0,0,5,5,2,0,4
"dp_gene11732",0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11733",0,2,0,1,2,1,1,0,1,0,0,0,0,0,0,3,0,0,23
"dp_gene11734",0,0,1,1,2,0,0,1,0,1,1,2,0,0,0,0,4,2,1
"dp_gene11735",1,6,2,6,19,16,36,9,26,18,15,20,17,6,17,35,20,19,25
"dp_gene11736",2,11,8,5,8,11,5,5,11,3,4,4,1,1,8,7,4,3,15
"dp_gene11737",0,0,3,0,0,0,0,0,0,0,17,27,4,24,29,23,6,2,32
"dp_gene11738",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11739",0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
"dp_gene11740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11741",0,1,1,0,7,7,4,2,4,6,9,11,0,1,10,8,12,10,17
"dp_gene11742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11743",0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
"dp_gene11744",5,1,1,0,0,1,0,0,0,4,1,0,0,0,1,0,2,0,0
"dp_gene11745",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"dp_gene11747",0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1
"dp_gene11748",0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,1,0,0
"dp_gene11749",1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
"dp_gene11750",1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
"dp_gene11751",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"dp_gene11752",0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,8
"dp_gene11753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"dp_gene11754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"dp_gene11756",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"dp_gene11757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene11758",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"dp_gene11759",1,0,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,6
"dp_gene11760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"dp_gene11761",2,4,11,2,3,4,2,2,2,2,6,1,0,1,11,11,10,1,8
"dp_gene11762",2,3,3,1,2,2,7,1,5,3,6,1,0,0,4,4,1,8,12
"dp_gene11763",2,6,6,7,3,6,5,4,5,5,6,7,1,4,9,14,9,4,4
"dp_gene11764",3,0,2,3,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1
"dp_gene11765",0,1,1,0,1,0,1,1,0,0,1,3,0,2,0,0,1,5,2
"dp_gene11766",0,1,0,1,0,1,4,2,0,3,1,1,1,1,3,1,0,1,2
"dp_gene11767",3,2,2,4,3,3,2,4,1,1,2,1,0,0,6,0,0,2,1
"dp_gene11768",1,1,3,6,8,3,1,4,4,11,3,2,0,1,4,3,6,2,1
"dp_gene11769",12,13,18,13,8,20,23,8,12,18,9,15,0,8,24,21,17,16,6
"dp_gene11770",524,428,359,339,236,272,381,203,166,268,133,175,50,57,175,208,194,154,142
"dp_gene11771",25,14,18,14,4,8,11,3,4,7,4,4,0,5,6,4,3,1,6
"dp_gene11772",242,270,241,230,228,299,528,273,357,391,150,171,60,91,190,164,160,127,75
"dp_gene11773",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5,4,2
"dp_gene11774",22,17,30,30,19,19,24,14,20,26,5,7,1,0,10,17,7,8,8
"dp_gene11775",10,12,4,3,5,11,11,6,4,16,5,8,0,2,8,3,4,3,1
"dp_gene11776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11778",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11779",1,1,0,0,0,1,0,0,1,0,0,1,0,0,4,0,0,1,2
"dp_gene11780",2,0,1,0,1,3,0,0,2,2,0,0,1,0,4,1,1,0,1
"dp_gene11781",1,5,0,2,7,8,12,6,13,8,15,15,1,6,22,22,13,5,6
"dp_gene11782",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1
"dp_gene11783",0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,1,10
"dp_gene11784",2,0,0,0,4,2,2,0,9,0,2,8,0,2,8,18,9,5,2
"dp_gene11785",165,112,115,91,100,58,68,39,18,45,16,25,6,6,31,23,38,23,21
"dp_gene11786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11787",0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"dp_gene11788",1667,2339,2454,2671,2239,2570,3412,2369,1712,2128,658,770,215,241,814,585,442,480,209
"dp_gene11789",25,25,20,26,24,60,69,52,72,65,49,50,33,42,50,86,75,69,45
"dp_gene11790",4,4,6,8,9,15,15,13,27,9,17,15,0,4,13,40,56,37,3
"dp_gene11791",1,3,2,0,16,7,16,9,20,19,28,41,2,12,28,52,69,55,28
"dp_gene11792",0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,9
"dp_gene11793",0,8,2,4,15,16,17,15,7,18,7,3,6,1,3,8,10,5,5
"dp_gene11794",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"dp_gene11795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
"dp_gene11796",0,0,0,0,0,0,2,0,2,1,0,1,0,1,2,2,1,2,2
"dp_gene11797",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"dp_gene11798",0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
"dp_gene11799",1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
"dp_gene11800",1,1,0,1,1,0,0,2,1,1,2,3,0,2,4,0,5,0,0
"dp_gene11801",1,3,1,1,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0
"dp_gene11802",0,0,0,0,0,1,3,0,2,0,0,2,0,1,2,1,0,0,4
"dp_gene11803",10,3,3,1,1,4,0,1,0,0,7,7,0,0,2,2,1,8,4
"dp_gene11804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,5
"dp_gene11805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11806",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"dp_gene11807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene11808",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"dp_gene11809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"dp_gene11811",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"dp_gene11812",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"dp_gene11813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"dp_gene11815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"dp_gene11816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11817",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11818",0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
"dp_gene11819",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"dp_gene11820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11823",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2
"dp_gene11824",0,0,1,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1
"dp_gene11825",16,10,12,18,9,18,23,10,11,12,12,3,3,2,10,17,8,5,2
"dp_gene11826",2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1
"dp_gene11827",0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,6,10,3,46
"dp_gene11828",0,1,2,3,1,4,2,0,0,5,37,10,4,1,34,44,13,13,73
"dp_gene11829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11830",0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene11831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11832",0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
"dp_gene11833",0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1
"dp_gene11834",1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"dp_gene11835",1,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,5,0,0
"dp_gene11836",0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"dp_gene11837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
"dp_gene11838",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0
"dp_gene11839",384,429,354,338,351,454,518,421,405,333,231,252,127,111,346,430,339,284,221
"dp_gene11840",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3
"dp_gene11841",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0
"dp_gene11842",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11843",0,0,3,1,2,3,11,2,2,2,2,2,0,0,0,4,2,0,3
"dp_gene11844",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11845",62,85,63,75,87,106,80,56,9,50,1,1,0,0,0,1,1,2,3
"dp_gene11846",7,14,11,9,42,71,171,40,500,218,359,408,135,238,519,779,936,632,248
"dp_gene11847",0,0,1,0,2,0,3,0,2,4,0,0,0,0,0,1,2,0,2
"dp_gene11848",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"dp_gene11849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11850",2,10,7,11,26,23,47,19,25,36,4,3,5,4,10,6,10,13,2
"dp_gene11851",4,1,1,3,1,2,8,1,6,1,1,6,0,0,1,1,0,1,1
"dp_gene11852",4,1,0,1,1,2,0,0,0,0,2,0,0,0,0,0,1,2,0
"dp_gene11853",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"dp_gene11854",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11855",6,4,0,1,4,1,1,0,1,0,1,2,4,0,3,4,8,6,1
"dp_gene11856",2,1,0,5,2,5,0,2,2,0,4,2,0,0,4,2,5,9,7
"dp_gene11857",0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"dp_gene11858",0,0,0,0,0,0,1,0,3,1,5,8,0,3,3,7,13,9,0
"dp_gene11859",0,0,0,7,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11860",27,25,24,21,26,38,24,13,14,23,12,3,1,0,4,8,1,2,7
"dp_gene11861",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11862",4,1,0,2,0,0,2,1,0,1,0,1,0,0,0,0,0,1,1
"dp_gene11863",6,13,2,8,5,5,0,2,1,1,1,1,0,0,0,3,1,2,1
"dp_gene11864",39,42,31,48,41,46,97,44,50,64,9,20,2,5,14,15,6,6,3
"dp_gene11865",19,13,3,6,6,8,12,6,14,9,12,21,7,16,27,24,17,17,20
"dp_gene11866",0,0,1,0,2,2,0,1,4,1,5,1,0,1,6,2,2,3,4
"dp_gene11867",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
"dp_gene11868",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11869",0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11870",0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2
"dp_gene11871",0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"dp_gene11872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11874",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,1,0
"dp_gene11875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11876",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"dp_gene11877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11878",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"dp_gene11879",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,1,0
"dp_gene11880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11881",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"dp_gene11882",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"dp_gene11883",4,2,4,0,6,4,12,3,15,15,14,16,0,5,11,8,13,10,1
"dp_gene11884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11885",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,2
"dp_gene11886",0,0,0,0,0,2,0,0,1,1,1,0,0,3,0,1,1,0,1
"dp_gene11887",0,0,2,0,2,5,1,0,0,0,0,0,0,0,1,1,0,0,5
"dp_gene11888",18,10,21,17,19,27,6,5,3,6,2,4,0,0,0,1,2,0,0
"dp_gene11889",1,3,0,3,0,3,1,1,3,1,3,0,0,0,1,1,0,1,0
"dp_gene11890",11,7,8,1,7,9,12,3,9,10,9,14,3,6,13,17,17,11,8
"dp_gene11891",42,56,48,71,187,218,87,104,50,59,31,5,5,2,19,33,13,23,23
"dp_gene11892",1,0,2,1,0,3,3,2,2,1,1,0,0,0,3,2,1,1,0
"dp_gene11893",1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2
"dp_gene11894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11895",4,1,4,0,0,2,1,1,0,1,1,1,0,0,2,4,0,0,0
"dp_gene11896",226,471,401,533,1435,1623,2125,1224,1346,1451,743,598,288,233,889,678,582,565,326
"dp_gene11897",5,6,2,6,4,7,6,5,6,3,4,7,0,3,1,4,1,2,5
"dp_gene11898",7,11,23,17,9,22,25,22,16,9,10,10,0,3,21,21,21,10,17
"dp_gene11899",0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
"dp_gene11900",0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
"dp_gene11901",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene11903",1,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,4,2
"dp_gene11904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
